Scheme Name,Eligible Categories,Eligible Genders,Max Income,Age Range,Disability Required,Rural Only,Business Types
National Livestock Mission: Promotion of Piggery Entrepreneur,General,ANY,No cap / not found,Not found,No,No,agriculture
National Mission on Agriculture (NMA) / National Mission on Agricultural Extension and Technology,ANY,female,No cap / not found,18-70,No,Yes,"Agriculture, Farming Technology, Agricultural Extension, Capacity Building, Farmer Welfare"
"National Programme for Advancement of Arts, Youth, and Sports in Academic Institutions (NPAAYASIAS)",ANY,female,No cap / not found,14-30,No,No,"Youth Development, Sports Promotion, Arts and Culture, Academic Integration, Student Welfare"
National Scholarship / Assistance Scheme (NSA),Minority,female,"₹250,000",Jun-30,No,No,"Education, Scholarship, Student Welfare, Financial Assistance, Merit Support"
National Single Window System / Support Scheme for Single Women (NSSW),ANY,female,No cap / not found,18-60,No,No,"Women Empowerment, Single Women Welfare, Single Window Clearance, Livelihood Support, Entrepreneurship"
National Social Security Programme / Support Scheme for Senior Persons (NSSP),EWS,female,"₹150,000",60-100,No,No,"Senior Citizen Welfare, Social Security, Pension, Destitute Support, Vulnerable Groups"
National Startup Awards,ANY,ANY,No cap / not found,Not found,No,No,"trading, services, MSME, startup"
New Entrepreneur & Enterprise Development Scheme (NEEDS),ANY,female,No cap / not found,21-45,No,No,"New Entrepreneurs, Enterprise Development, MSME, Business Loan, Capital Subsidy, Self Employment"
New Entrepreneur-cum-enterprise Development Scheme,"General, SC, ST",female,No cap / not found,21-35,Yes,Yes,ANY
New Swarnima Scheme For Women,ANY,female,"₹300,000",18-55,No,No,ANY
Next Generation Incubation Scheme (GENESIS),ANY,female,"₹10,000,000",18-60,No,No,"Startups, Incubation, Tech Innovation, Entrepreneurship, Tier-2/Tier-3 Cities, MeitY"
North East BPO Promotion Scheme (NEBPS),ANY,female,"₹1,000,000",18-60,No,No,"IT/ITeS, BPO Promotion, North East Development, Employment Generation, Technology Infrastructure"
North Eastern Council Assistance / North Eastern Region Community Resource Management Scheme (NECA),ANY,female,No cap / not found,18-60,No,No,"North East Development, Livelihood, Community Resource Management, Tribal Welfare, Infrastructure"
One District One Product (ODOP) Artisans / Craftspeople Financial Assistance Scheme,ANY,female,No cap / not found,18-65,No,No,"Traditional Crafts, Artisan Support, Micro Enterprise, Skill Upgradation, Financial Assistance"
One Family One Enterprise Scheme,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, services, MSME"
One Time Settlement and Support Scheme for Distressed Farming and Fishing Communities (OTSDFPC),ANY,female,"₹500,000",18-70,No,Yes,"Debt Relief, Farmer Welfare, Fisheries Support, One Time Settlement, Financial Assistance"
PM Street Vendor’s AtmaNirbhar Nidhi (PM SVANidhi),ANY,ANY,No cap / not found,Not found,No,No,trading
PM Vishwakarma,ANY,ANY,No cap / not found,Not found,No,No,"handicraft, trading"
"PM-YASASVI Top Class School Education Scheme for OBC, EBC and DNT",OBC,female,"₹125,000",13-19,No,No,"Education, School Scholarship, OBC Welfare, Tuition Grant, Student Support"
"PRISM (Promoting Innovations in Individuals, Start-ups and MSMEs): Category-1: Proof of Concept/ Prototypes/ Models",General,ANY,No cap / not found,Not found,No,No,"startup, education, healthcare"
"PRISM - Promoting Innovations in Individuals, Start-ups and MSMEs (DSIR)",ANY,female,"₹5,000,000",18-65,No,No,"Innovation, Science & Technology, Startups, R&D, Commercialization, Green Technology"
Padhuke Kuteera Scheme Karnataka,ANY,ANY,"₹30,000",Not found,No,No,handicraft
Patent Filing Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Payroll Subsidy,ANY,ANY,No cap / not found,Not found,No,No,ANY
Performance Linked Grant Scheme for Smaller Business Units,ANY,ANY,No cap / not found,Not found,No,No,ANY
Piggery Farming Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
Poultry Farming Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
Power Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Pradhan Mantri Bhartiya Janaushadhi Pariyojana,ANY,ANY,No cap / not found,Not found,No,No,healthcare
Pradhan Mantri Formalisation Of Micro Food Processing Enterprises,ANY,ANY,No cap / not found,18-100,No,No,"agriculture, trading, education"
Pradhan Mantri Formalisation of Micro Food Processing Enterprises (PMFME) Scheme,ANY,female,No cap / not found,18-70,No,No,"Food Processing, Micro Enterprises, PMFME, Financial Subsidy, Agricultural Value Addition, Rural Development"
Pradhan Mantri Kaushal Vikas Yojana - Short Term Training,ANY,ANY,No cap / not found,15-45,No,No,ANY
Pradhan Mantri Kaushal Vikas Yojana - Short Term Training (PMKVY-STT),ANY,female,No cap / not found,15-45,No,No,"Skill Development, Vocational Training, Employment, Youth Welfare, Training Certification"
Pradhan Mantri Kaushal Vikas Yojana - Special Projects,ANY,female,No cap / not found,Not found,No,No,ANY
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),ANY,female,"₹6,000",18-100,No,No,"Agriculture, Income Support, Farmer Welfare, Direct Benefit Transfer"
Pradhan Mantri Matsya Sampada Yojana / Fisheries Sector Scheme (CBSSC-MSY),ANY,female,"₹5,000,000",18-65,No,No,"Fisheries, Aquaculture, Marine Development, Farmer Welfare, Financial Assistance, Infrastructure"
Pradhan Mantri Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),ANY,female,No cap / not found,Not found,No,No,"Urban Livelihood, Street Vendor Support, Micro-Credit, Working Capital, Financial Inclusion"
Pradhan Mantri Vaya Vandana Yojana (PMVVY / PMV),ANY,female,"₹1,500,000",60-100,No,No,"Senior Citizen Welfare, Pension Scheme, Social Security, Financial Assistance, Investment"
Pradhan Mantri Vishwakarma Kaushal Samman (PM VIKAS),ANY,female,"₹500,000",Not found,No,No,"Artisans, Traditional Crafts, Skill Training, Toolkit Incentive, Credit Support, Digital Empowerment"
Preferential Purchase Incentives for Micro and Small Enterprises Scheme,ANY,ANY,No cap / not found,Not found,No,No,trading
Prime Minister's Employment Generation Programme,ANY,ANY,No cap / not found,18-100,No,No,"manufacturing, services, education"
Prime Minister's Scholarship Scheme (PMSS) for Wards of CAPF & AR,ANY,female,"₹36,000",17-25,No,No,"Education, Scholarship, Student Welfare, Technical Education, Higher Learning"
Production Linked Incentive (PLI) Scheme 2.0 for IT Hardware,ANY,female,No cap / not found,18-70,No,No,"IT Hardware, Electronics Manufacturing, Laptops, Servers, Technology Incentives, PLI 2.0"
Production Linked Incentive (PLI) Scheme for Jewelry and Specialized Sectors,ANY,female,"₹50,000,000",Not found,No,No,"Manufacturing, Export Promotion, Jewelry, Industrial Incentives, Production Linked Incentive"
Production Linked Incentive (PLI) Scheme for Pharmaceuticals,ANY,female,"₹100,000,000",Not found,No,No,"Pharmaceuticals, Healthcare, Manufacturing, Export Promotion, Production Linked Incentive"
Production Linked Incentive (PLI) Scheme for Promotion of Domestic Manufacturing of Medical Devices (PLI-PDMMD),ANY,female,No cap / not found,18-70,No,No,"Medical Devices, Healthcare, Domestic Manufacturing, Import Substitution, Industrial Incentives, PLI Scheme"
Production Linked Incentive (PLI) Scheme for Specialty Steel (PRIC),ANY,female,"₹500,000,000",Not found,No,No,"Steel Industry, Manufacturing, Specialty Steel, Export Promotion, Production Linked Incentive"
"Production Linked Incentive (PLI) Scheme for Textiles (Man-Made Fibre Fabrics, Apparel and Technical Textiles)",ANY,female,No cap / not found,18-70,No,No,"Textiles, Apparel, Technical Textiles, Manufacturing, Export Promotion, PLI Scheme"
Production Linked Incentive / Support Scheme for Advanced Automation & Craft Integration (PLISAACI),ANY,female,"₹10,000,000",18-65,No,No,"Production Linked Incentive, Advanced Automation, Manufacturing Support, MSME Growth, Industrial Grant"
Production Linked Incentive Scheme For Automobile And Auto Component Industry,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Professional and Self Employment Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
Promotion of Energy Audit and Conservation of Energy (PEACE): Awareness Programme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Promotion of Energy Audit and Conservation of Energy (PEACE): Detailed Energy Audit,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Promotion of Energy Audit and Conservation of Energy (PEACE): Training Programme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Providing Mini Tractor and its Sub Parts to the Self Help Group of Scheduled Castes,ANY,ANY,No cap / not found,Not found,No,No,ANY
Providing Tin stalls to Gatai Kamgar,ANY,ANY,"₹40,000",18-100,No,No,ANY
Purchase of Vehicle for Commercial Hiring Purpose for Persons with Disabilities,ANY,ANY,No cap / not found,18-100,Yes,No,ANY
Quality Certification Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, healthcare"
R&D Reimbursement Scheme,ANY,ANY,No cap / not found,10-100,No,No,startup
Rajiv Gandhi Swavlamban Rojgar Yojna,ANY,ANY,No cap / not found,Not found,No,No,"handicraft, trading"
Rajiv Gandhi Swavlamban Rojgar Yojna (RGSRY),"General, OBC, SC, ST",female,No cap / not found,18-50,Yes,No,"Tiny/Cottage Industries, Manufacturing, Trade, Transportation, Hostels, Restaurants (without liquor/meat), Services"
Rashtriya Krishi Vikas Yojana (RKVY) / Kisan Vikas Yojana,ANY,female,No cap / not found,18-70,No,No,"Agriculture, Infrastructure Development, Farming Equipment, Agri-Business, Farmer Welfare"
Readymade Kichan Sahaayata Yojana,General,ANY,No cap / not found,18-50,No,No,healthcare
Registration & Stamp Duty Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Reimbursement of Expenses for Startups Operating from Leased/Privately Owned Premises Scheme,ANY,ANY,No cap / not found,10-100,No,No,startup
Reimbursement of Stamp Duty and Registration Charges,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Reimbursement of membership Fee in Government promoted E-Commerce Portals,"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Revival and Rehabilitation Scheme for Defunct MSMEs and Cashew Processing Units,General,ANY,No cap / not found,Not found,No,No,manufacturing
Rise Together,ANY,ANY,No cap / not found,18-35,No,No,education
Rural Manufacturing & Financial Growth Promotion Scheme (RMFGP),ANY,female,"₹2,500,000",18-65,No,Yes,"Rural Manufacturing, Micro-Enterprise, Credit Subsidy, Employment Generation, Entrepreneurship Development"
SITARE-Gandhian Young Technological Innovation Award Grant,ANY,ANY,No cap / not found,Not found,No,No,"startup, education"
Saksham Scheme for Backward Classes,ANY,ANY,"₹300,000",18-35,No,No,ANY
Salary Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,startup
Salary Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Sales Rebate under 'Marketing And Publicity',ANY,ANY,No cap / not found,Not found,No,No,handicraft
Samruddhi Scheme,SC,ANY,No cap / not found,21-100,No,No,ANY
Santwana Scheme - Karnataka,Minority,ANY,"₹800,000",18-55,No,No,education
Satat Jeevikoparjan Yojana (SJY),"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Savitribai Phule Self-Help Scheme,SC,female,No cap / not found,18-55,No,No,ANY
Scheduled Caste Development Fund & Financial Assistance Scheme (SCDF),SC,female,No cap / not found,18-60,No,No,"Scheduled Caste Welfare, Financial Assistance, Entrepreneurship, Educational Support, Development Fund"
Scheme For Assistance For Start Ups/ Innovation,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme for Accelerated Career & Advanced Business Consulting / Entrepreneurship Support (ACANDABC),ANY,female,"₹1,000,000",18-55,No,No,"Business Consulting, Entrepreneurship, MSME Support, Skill Development, Startup Incubation"
Scheme for Additional Interest Subsidy over and above RIPS 2024 and Reimbursement of Annual Credit Guarantee Fee,"SC, ST",female,No cap / not found,18-45,No,No,ANY
Scheme for Assistance for Research & Development Activities: Assistance for Contract/Sponsored Research Work,ANY,ANY,No cap / not found,Not found,No,No,education
Scheme for Assistance for Research & Development Activities: Assistance to Industrial Association for Establishment of R&D Laboratories,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Assistance for Research & Development Activities: Assistance to R&D Institutions/ Laboratories set up by the State Government or by Government of India,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Assistance for Industrial Infrastructure,ANY,ANY,No cap / not found,7-100,No,No,"startup, healthcare"
Scheme for Assistance to Logistic Park,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Assistance to MSMEs for Market Development,ANY,ANY,No cap / not found,Not found,No,No,MSME
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME):  Assistance for Reimbursement of CGTMSE Fees",ANY,ANY,No cap / not found,Not found,No,No,ANY
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME):  Assistance for Saving in Consumption of Energy and Water",ANY,ANY,No cap / not found,Not found,No,No,ANY
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Interest Subsidy (Manufacturing Sector)",ANY,ANY,No cap / not found,7-100,No,No,manufacturing
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Interest Subsidy (Service Sector)",ANY,ANY,No cap / not found,7-100,No,No,services
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Patent Registration",ANY,ANY,No cap / not found,Not found,No,No,startup
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Power Connection Charges",ANY,ANY,No cap / not found,Not found,No,No,ANY
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Quality Certification",ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Raising Capital through SME Exchange",ANY,ANY,No cap / not found,Not found,No,No,MSME
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance for Technology Acquisition",ANY,ANY,No cap / not found,Not found,No,No,MSME
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance in Implementation of Information and Communication Technology (ICT)",ANY,ANY,No cap / not found,Not found,No,No,ANY
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance in Rent to MSEs",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Assistance of Capital Investment Subsidy (Manufacturing Sector)",ANY,ANY,No cap / not found,7-100,No,No,manufacturing
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Financial Support to MSMEs in ZED Certification",ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
"Scheme for Assistance to Micro, Small and Medium Enterprises (MSME): Rehabilitation of Sick Enterprises",ANY,ANY,No cap / not found,Not found,No,No,MSME
Scheme for Awards to MSMES,ANY,ANY,No cap / not found,Not found,No,No,"MSME, startup"
Scheme for Celebration of Birth/death Anniversary of Eminent Personalities,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Construction of Fish Ponds / Aquaculture Assistance,"General, OBC, SC, ST",female,No cap / not found,18-65,No,No,"Fisheries, Aquaculture, Agriculture & Allied Activities, Rural Income Generation"
Scheme for Enhancement of Technical Competence and Manpower: Scheme of Financial Assistance for Skill Development to MSME Sector,ANY,ANY,No cap / not found,10-100,No,No,MSME
Scheme for Financial & Food Processing Rural Enterprise Startups (SFFRFSE),ANY,female,No cap / not found,18-65,No,No,"Food Processing, Rural Startups, Financial Assistance, Agribusiness, Subsidy, Enterprise Development"
Scheme for Financial Assistance to Integrated Logistics Facilities: Capital Subsidy,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Financial Assistance to Integrated Logistics Facilities: Exemption of Electricity Duty,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Financial Assistance to Integrated Logistics Facilities: Interest Subsidy,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Financial Assistance to Integrated Logistics Facilities: Reimbursement of Stamp Duty,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Interest Subvention to Nano Household Enterprises,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services"
Scheme for Margin Money Grant to Nano Units,"SC, ST",female,No cap / not found,Not found,No,No,"manufacturing, services"
"Scheme for Plantation Development (New planting & Replanting) under Medium Term Framework Plan (MTFP) in Traditional Areas (Kerala and Tamil Nadu), Non-Traditional and North Eastern Region",ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme for Promotion of Manufacturing of Electronic Components and Semiconductors (ECMS) / Electronics Components Manufacturing Scheme,ANY,female,No cap / not found,18-70,No,No,"Electronics, Semiconductors, Component Manufacturing, Technology Incentive, MeitY, Industrial Growth"
Scheme for Small Business Owners of Scheduled Castes to Buy a Place of Business/Shop,ANY,ANY,No cap / not found,Not found,No,No,"trading, education"
"Scheme for Strengthening Steel / Micro, Small and Medium Enterprises in Steel Sector (SSTEEL)",ANY,female,"₹10,000,000",18-65,No,No,"Steel Industry, Manufacturing, MSME Development, Industrial Technology, Infrastructure"
Scheme for Supply of TV Sets to Industrial Establishments/Labour Welfare Centres/Clubs/Recreation Rooms,ANY,ANY,No cap / not found,Not found,No,No,trading
Scheme for Support and Skill Development of SC/ST Communities (SASSCDC),"SC, ST",female,No cap / not found,16-45,No,No,"Skill Development, SC/ST Welfare, Vocational Training, Financial Support, Empowerment"
Scheme for Wage Compensation to Handloom Weaver Families,ANY,ANY,No cap / not found,Not found,No,No,handicraft
Scheme for assistance for Research & Development Activities: Assistance to Establish Research & Development/Product Development Centre,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Scheme for assistance for Start Ups/ Innovation: Assistance for Skill Development,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme for assistance for Start Ups/ Innovation: Assistance to Enroll and Participate for Acceleration Program,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme for assistance for Start Ups/ Innovation: Interest Subsidy,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme for assistance for Start Ups/ Innovation: Pre- Series A Funding,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme for assistance for Start Ups/ Innovation: Seed Support,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme for assistance for Start Ups/ Innovation: Sustenance Allowance,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme of Assistance for Common Environment Infrastructure: Common Boiler Project by SPV Constituted by Minimum 10 MSMEs,ANY,ANY,No cap / not found,Not found,No,No,MSME
Scheme of Assistance for Common Environment Infrastructure: Financial Assistance for Common Environmental Infrastructure Facilities,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme of Assistance for Common Environment Infrastructure: Scheme for Development of Green Estate,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme of Assistance for Common Environment Infrastructure: Scheme of Assistance for Strengthening the Regulation and Environmental Compliance,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme of Assistance for Environment Protection Measures: Scheme for assistance to Environment Management,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Scheme of Assistance for Environment Protection Measures: Scheme for assistance to encouraging Green Practices and Environmental Audit to MSMEs,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Scheme of Financial Assistance for Cultural Organization for Holding Conference, Seminar, Symposium, Exhibition, Festival, Competition etc.",ANY,ANY,No cap / not found,2-100,No,No,ANY
Scheme of Fund for Regeneration of Traditional Industries,ANY,ANY,No cap / not found,Not found,No,No,"handicraft, services"
Scheme of Fund for Regeneration of Traditional Industries (SFURTI),ANY,female,"₹80,000,000",18-70,No,No,"Traditional Industries, Artisans, Cluster Development, MSME Support, Rural Development, Financial Assistance"
Scheme of Grant-In-Aid for Conduct of Art Exhibitions: One-Man Shows,ANY,ANY,No cap / not found,Not found,No,No,ANY
Scheme or assistance for Start Ups/ Innovation: Assistance to Startups having a Significant Impact on Society,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, startup, education, healthcare"
Scheme to Provide Assistance for Construction of Retail Outlets/ Agricultural Malls in State Market Committees,ANY,ANY,No cap / not found,Not found,No,No,ANY
Seed Capital Scheme,ANY,ANY,No cap / not found,Not found,No,No,startup
Self Employment Scheme For Traditional Artisans and Craftspersons (SEPT),"General, Minority, OBC, SC, ST",female,No cap / not found,18-50,No,No,"Handloom, Handicrafts, Traditional Crafts, Artisans, Small Business, Micro-enterprise"
Self-Certification Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Self-Employment Scheme For Dependents Of Prisoners,ANY,ANY,No cap / not found,5-100,No,No,ANY
Self-Employment Scheme: Nana Vyavasay Mate Loan Yojana,ANY,female,"₹600,000",5-100,No,No,ANY
Self-Employment Scheme: Transport/ Logistics/ Travels/ Food Court Wyaaj Sahaay,ANY,ANY,"₹600,000",5-100,No,No,ANY
Self-Employment Scheme: Vahan Loan Sahay Yojana,ANY,female,"₹600,000",5-100,No,No,ANY
Semi-Commercial Duck Farming,ANY,ANY,No cap / not found,Not found,No,No,agriculture
"Share Capital to Local Entrepreneurs and Self Employed Scheme, 2008",ANY,female,"₹80,000",Not found,Yes,No,"agriculture, trading"
Sheep Rearing Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
Shilp Sampada Term Loan Scheme for Backward Classes- Haryana,ANY,ANY,"₹300,000",18-35,No,No,handicraft
Shilpi Samridhi Yojana,ANY,ANY,"₹300,000",18-45,No,No,ANY
Shrama Shakthi Scheme,Minority,female,"₹350,000",18-55,No,No,"Artisans, Technical Skills, Micro-enterprises, Skilled Trades"
Shramashakthi Special Women's Scheme,Minority,female,"₹350,000",18-55,No,No,ANY
Sikhligar�s Community Development Scheme,ANY,ANY,"₹600,000",18-55,No,No,education
Skill Development Fee Reimbursement Scheme,ANY,ANY,No cap / not found,10-100,No,No,"startup, education"
Skill Development Promotion Scheme,ANY,ANY,No cap / not found,Not found,No,No,"startup, education"
Skill Development and Training for Computer & Information Technology (SDATOCITT),ANY,female,No cap / not found,16-45,No,No,"Information Technology, Skill Development, Digital Literacy, Computer Training, Employment"
"Skill Development, Backward Classes & Professional Programme Promotion Scheme (SDBPPD)",ANY,female,No cap / not found,18-60,No,No,"Skill Development, Backward Classes, Professional Training, Career Programme, Entrepreneurship, Welfare"
Skilled Youth Startup Scheme,ANY,female,No cap / not found,18-45,No,No,"Startup Support, Skill Development, Financial Grant, Margin Money Subsidy"
Small Business in Service/Trading Sector for Persons with Disabilities (Divyangjan Swavalamban Yojana),ANY,ANY,No cap / not found,18-55,Yes,No,ANY
Small Industries Unit for Persons with Disabilities,ANY,ANY,No cap / not found,18-100,Yes,No,ANY
Soft Loan / Technology Fund for Agriculture and Allied Sectors,ANY,female,"₹5,000,000",18-65,No,No,"Agriculture, Agri-Tech, Agro-Processing, Farming Technology, Financial Assistance"
Soft Loan Scheme for Women Entrepreneurs,ANY,female,No cap / not found,Not found,No,No,startup
Solar Power Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Special Credit Linked Capital Subsidy Scheme (SCLCSS),ANY,female,"₹10,000,000",18-65,No,No,"MSME Support, Capital Subsidy, Technology Upgradation, Credit Linked, Manufacturing"
Special Credit Linked Capital Subsidy Scheme (SCLCSS) for Scheduled Caste/Scheduled Tribe,"SC, ST",ANY,No cap / not found,Not found,No,No,"manufacturing, services"
Special Incentive Allowance Scheme,ANY,female,No cap / not found,Not found,No,No,ANY
Spurring Entrepreneurship Initiative,ANY,female,No cap / not found,18-40,No,No,startup
Stamp Duty Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,startup
Stand-Up India,"SC, ST",male,No cap / not found,18-100,No,No,ANY
Stand-Up India Scheme,"SC, ST",female,No cap / not found,Not found,No,No,"Manufacturing, Service, Trading"
Startup India Seed Fund Scheme (SISFS) - Financial Support / Seed Support,ANY,female,No cap / not found,21-65,No,No,"Startups, Seed Funding, Entrepreneurship, Innovation, Venture Support, DPIIT"
Startup India Seed Fund Scheme- For Incubators,ANY,ANY,No cap / not found,Not found,No,No,startup
Startup India Seed Fund Scheme- For Startups,ANY,ANY,No cap / not found,Not found,No,No,"agriculture, services, startup, education, healthcare"
Startup Manipur,ANY,ANY,No cap / not found,18-100,No,No,startup
State Government Share Capital Contribution to Co.operative Sugar Factories (Normal Area) (Tribal Area),ANY,ANY,No cap / not found,Not found,No,No,ANY
State Scheme For Other Backward Classes For Purchase Of Bus,OBC,female,"₹150,000",18-55,No,No,"Transport Services, Passenger Transport, Commercial Vehicle, Small Enterprise"
State Scheme For Scheduled Tribe / Scheduled Caste / OBC For Purchase Of Pick-up Van / Delivery Van / Goods Carrier,"OBC, SC, ST",female,"₹150,000",18-55,No,No,"Transport Services, Goods Transportation, Commercial Logistics, Delivery Services, Small Enterprise"
Sub-mission on Breed Development of Livestock and Poultry,ANY,ANY,No cap / not found,Not found,No,No,agriculture
Subsidy Scheme For Establishment Of 100 Broiler Birds' Farm For Schedule Caste,ANY,ANY,No cap / not found,Not found,No,No,agriculture
Subsidy Scheme For Establishment Of Goat Unit (10+1) For General Category People,General,ANY,No cap / not found,Not found,Yes,No,ANY
Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Caste People,General,female,No cap / not found,02-Mar,Yes,No,ANY
Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Tribe Women,ST,female,No cap / not found,Not found,Yes,No,ANY
Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,ST,female,No cap / not found,Not found,Yes,No,"Animal Husbandry, Poultry Farming, Livestock, Small Enterprise"
Subsidy Scheme On Establishment Of 25 R.I.R. Birds' Unit For Weaker Section,EWS,ANY,No cap / not found,Not found,No,No,agriculture
Subsidy Scheme On Establishment Of 25 R.I.R. Birds’ Unit For Scheduled Caste,ANY,ANY,No cap / not found,Not found,No,No,agriculture
Subsidy Scheme On Establishment Of 40 R.I.R. Birds Unit For Divyang People,ANY,ANY,No cap / not found,Not found,Yes,No,agriculture
Subsidy for Asset Creation for Intellectual Property: Patent Registration,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
Subsidy for Asset Creation for Intellectual Property: Subsidy on the Cost of Trade Mark Registration or Geographical Indications (GI) in India or Abroad,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
Subsidy for Developing Business Premises for Persons with Disabilities,ANY,ANY,No cap / not found,18-100,Yes,No,ANY
Subsidy for Disabled Young Professionals,ANY,ANY,No cap / not found,18-45,Yes,No,education
Subsidy for Fund Raising from SME Exchange,ANY,ANY,No cap / not found,Not found,No,No,ANY
"Support Scheme for SC, ST and OBC Students (SSSCSTSSSU)","EWS, OBC, SC, ST",female,No cap / not found,16-30,No,No,"Education, Scholarship, Financial Assistance, Student Welfare, SC/ST/OBC Support"
Swami Vivekananda Yuva Pradhan Mantri Employment Scheme (SDYP),"General, OBC, SC, ST",female,No cap / not found,18-45,No,No,"Manufacturing, Service Sector, Business / Trading, Micro Enterprises"
Swarojgar & Jeevan Jyoti Welfare Scheme (SJY),EWS,female,No cap / not found,18-60,No,No,"Swarojgar, Self Employment, Rural Development, Livelihood Support, Entrepreneurship, Welfare"
Swatantrata Sainik Samman Pension Scheme (SPSHS),"SC, ST",female,No cap / not found,Not found,No,No,"Social Security, Pension, Financial Assistance, Rehabilitation"
Swavalambi/Sanchari Marata Malige,ANY,ANY,"₹30,000",Not found,No,No,handicraft
Tamil Nadu Free Agriculture Power Supply Scheme,"General, OBC, SC, ST",female,No cap / not found,Not found,No,No,"Agriculture, Irrigation, Farming, Allied Agricultural Activities"
Technology Acquisition Assistance,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
